id,title,artist,videoId,titleKana,titleRomaji,titleEn,artistKana,artistRomaji,active
yt_oKonwul9mQI,終宵,マカロニえんぴつ,oKonwul9mQI,しゅうしょう,Shusho,Shusho,まかろにえんぴつ,Macaroni Enpitsu,TRUE
yt_L262NKlSl4s,ダーリン,Mrs. GREEN APPLE,L262NKlSl4s,だーりん,Darling,Darling,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_0rReS7UN97U,"Love Me, Love You",Mrs. GREEN APPLE,0rReS7UN97U,らぶみーらぶゆー,"Love Me, Love You","Love Me, Love You",みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt__w3XfJ1ENtM,Wanted! Wanted!,Mrs. GREEN APPLE,_w3XfJ1ENtM,うぉんてっどうぉんてっど,Wanted! Wanted!,Wanted! Wanted!,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_-QxMzUEJH4Q,青と夏,Mrs. GREEN APPLE,-QxMzUEJH4Q,あおとなつ,Ao To Natsu,,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_NUFfRHk1Qcs,StaRt,Mrs. GREEN APPLE,NUFfRHk1Qcs,すたーと,StaRt,StaRt,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_SwcXuRLhygA,ソランジ,Mrs. GREEN APPLE,SwcXuRLhygA,そらんじ,Soranji,,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_nUyFIf_DjVQ,Loneliness,Mrs. GREEN APPLE,nUyFIf_DjVQ,ろんりねす,Loneliness,Loneliness,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_S8V7QeszXy0,Magic,Mrs. GREEN APPLE,S8V7QeszXy0,まじっく,Magic,Magic,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_ArN80_ahos0,あなたに,Mrs. GREEN APPLE,ArN80_ahos0,あなたに,Anatani,,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_DO_aopUeFnw,ライラック,Mrs. GREEN APPLE,DO_aopUeFnw,らいらっく,Lilac,,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_N1XUt-ZcOf4,コロンブス,Mrs. GREEN APPLE,N1XUt-ZcOf4,ころんぶす,Columbus,,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_MT0xgNcOnsA,ファミーリエ,Mrs. GREEN APPLE,MT0xgNcOnsA,ふぁみーりえ,familie,,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_0Po9x1n0aQE,クスシキ,Mrs. GREEN APPLE,0Po9x1n0aQE,くすしき,KUSUSHIKI,,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_uqlQQqvALz0,breakfast,Mrs. GREEN APPLE,uqlQQqvALz0,ぶれっくふぁーすと,breakfast,breakfast,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_g0F_oplpX8o,ダンスホール,Mrs. GREEN APPLE,g0F_oplpX8o,だんすほーる,Dance Hall,,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
yt_U7vLNXWwMbk,GOOD DAY,Mrs. GREEN APPLE,U7vLNXWwMbk,ぐっどでい,GOOD DAY,GOOD DAY,みせすぐりーんあっぷる,Mrs. GREEN APPLE,TRUE
